,year,ft_lgbt,religion,party_id,religion_cat,party_id_cat
27180,1984,50.0,1.0,1.0,Religious,Republican
27181,1984,40.0,1.0,2.0,Religious,Independent
27182,1984,0.0,1.0,5.0,Religious,Democrat
27183,1984,15.0,1.0,5.0,Religious,Democrat
27184,1984,0.0,1.0,2.0,Religious,Independent
27185,1984,25.0,1.0,5.0,Religious,Democrat
27186,1984,10.0,1.0,5.0,Religious,Democrat
27188,1984,60.0,0.0,1.0,Not Religious,Republican
27189,1984,50.0,1.0,1.0,Religious,Republican
27190,1984,0.0,1.0,5.0,Religious,Democrat
27191,1984,50.0,1.0,3.0,Religious,No preference
27192,1984,60.0,1.0,2.0,Religious,Independent
27193,1984,0.0,1.0,2.0,Religious,Independent
27194,1984,30.0,1.0,1.0,Religious,Republican
27195,1984,50.0,1.0,3.0,Religious,No preference
27196,1984,50.0,1.0,2.0,Religious,Independent
27198,1984,0.0,1.0,5.0,Religious,Democrat
27199,1984,15.0,1.0,5.0,Religious,Democrat
27200,1984,60.0,0.0,5.0,Not Religious,Democrat
27201,1984,0.0,1.0,5.0,Religious,Democrat
27202,1984,0.0,1.0,1.0,Religious,Republican
27204,1984,50.0,0.0,2.0,Not Religious,Independent
27205,1984,49.0,0.0,1.0,Not Religious,Republican
27207,1984,0.0,1.0,1.0,Religious,Republican
27208,1984,40.0,1.0,5.0,Religious,Democrat
27209,1984,15.0,1.0,1.0,Religious,Republican
27210,1984,10.0,1.0,5.0,Religious,Democrat
27211,1984,0.0,1.0,5.0,Religious,Democrat
27213,1984,98.5,0.0,1.0,Not Religious,Republican
27214,1984,0.0,1.0,1.0,Religious,Republican
27216,1984,0.0,1.0,3.0,Religious,No preference
27217,1984,0.0,1.0,1.0,Religious,Republican
27218,1984,0.0,1.0,2.0,Religious,Independent
27219,1984,0.0,0.0,1.0,Not Religious,Republican
27220,1984,0.0,1.0,5.0,Religious,Democrat
27222,1984,0.0,1.0,5.0,Religious,Democrat
27223,1984,0.0,1.0,1.0,Religious,Republican
27227,1984,40.0,1.0,5.0,Religious,Democrat
27228,1984,70.0,1.0,3.0,Religious,No preference
27230,1984,0.0,1.0,2.0,Religious,Independent
27231,1984,0.0,1.0,1.0,Religious,Republican
27232,1984,50.0,0.0,2.0,Not Religious,Independent
27233,1984,50.0,1.0,1.0,Religious,Republican
